"Florida Occupational Employment and Wages",,,,,,,,,,,
"Florida - Statewide",,,,,,,,,,,
Occupational,,2012,,"(2013 wage estimates in dollars)",,,,,,,
Code,Title,Employment,,Mean,,Median,,Entry**,,Exp***,
51-5111,"Prepress Technicians and Workers","1,870",,15.78,,15.35,,10.67,,18.35,
25-2011,"Preschool Teachers, Except Special Education","18,370",,12.89,,11.67,,8.94,,14.87,
51-6021,"Pressers, Textile, Garment, and Related Materials","3,420",,9.83,,9.63,,8.26,,10.60,
51-5113,"Print Binding and Finishing Workers","1,880",,15.35,,14.16,,11.08,,17.47,
51-5112,"Printing Press Operators","7,950",,15.82,,15.37,,10.14,,18.67,
33-9021,"Private Detectives and Investigators","2,160",,21.47,,20.12,,15.49,,24.46,
21-1092,"Probation Officers and Correctional Treatment Specialists","4,700",,19.02,,18.25,,15.38,,20.84,
43-3061,"Procurement Clerks","3,360",,17.52,,17.42,,12.86,,19.84,
27-2012,"Producers and Directors","4,050",,33.53,,29.44,,18.75,,40.92,
51-9199,"Production Workers, All Other","5,360",,11.85,,10.96,,8.85,,13.34,
43-5061,"Production, Planning, and Expediting Clerks","9,720",,19.88,,18.89,,13.01,,23.31,
43-9081,"Proofreaders and Copy Markers",470,,18.60,,17.78,,12.82,,21.49,
11-9141,"Property, Real Estate, and Community Association Managers","15,330",,28.61,,23.93,,15.55,,35.16,
33-9099,"Protective Service Workers, All Other","5,390",,15.20,,14.12,,10.95,,17.34,
31-1013,"Psychiatric Aides","3,200",,11.48,,11.04,,9.39,,12.51,
29-2053,"Psychiatric Technicians","6,140",,12.41,,12.13,,9.75,,13.73,
29-1066,Psychiatrists,480,,89.61,,86.35,,51.27,,108.79,
19-3039,"Psychologists, All Other","1,240",,41.95,,37.86,,22.74,,51.55,
25-1066,"Psychology Teachers, Postsecondary","1,710",,"82,151",*,"76,302",*,"50,650",*,"97,901",*
27-3012,"Public Address System and Other Announcers",260,,20.62,,14.22,,9.06,,26.40,
11-2031,"Public Relations Managers","1,390",,52.98,,48.61,,32.70,,63.13,
27-3031,"Public Relations Specialists","9,830",,29.12,,25.73,,17.46,,34.96,
53-7072,"Pump Operators, Except Wellhead Pumpers",450,,17.47,,15.53,,13.11,,19.66,
13-1021,"Purchasing Agents and Buyers, Farm Products",300,,25.87,,22.94,,18.89,,29.37,
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","13,320",,27.29,,25.80,,17.57,,32.15,
11-3061,"Purchasing Managers","1,730",,53.71,,50.48,,34.70,,63.21,
29-1124,"Radiation Therapists","1,190",,39.17,,35.86,,29.01,,44.26,
27-3011,"Radio and Television Announcers","1,690",,18.91,,11.95,,8.85,,23.94,
49-2021,"Radio Mechanics","1,020",,24.10,,23.14,,15.94,,28.18,
29-2034,"Radiologic Technologists and Technicians","11,650",,25.18,,25.00,,18.95,,28.30,
49-3043,"Rail Car Repairers",600,,24.94,,25.92,,19.20,,27.82,
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",400,,19.84,,18.12,,15.33,,22.11,
53-4021,"Railroad Brake, Signal, and Switch Operators",420,,24.64,,25.85,,19.76,,27.08,
53-4031,"Railroad Conductors and Yardmasters",940,,29.85,,28.34,,24.83,,32.37,
47-4061,"Rail-Track Laying and Maintenance Equipment Operators",390,,21.82,,21.23,,15.40,,25.04,
41-9021,"Real Estate Brokers","3,330",,31.76,,22.19,,13.00,,41.14,
41-9022,"Real Estate Sales Agents","26,300",,19.91,,15.74,,11.02,,24.35,
43-4171,"Receptionists and Information Clerks","71,990",,12.72,,12.35,,9.42,,14.36,
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",630,,"69,957",*,"68,366",*,"37,564",*,"86,154",*
39-9032,"Recreation Workers","20,900",,11.59,,10.20,,8.24,,13.26,
29-1125,"Recreational Therapists",540,,22.93,,22.37,,17.59,,25.60,
49-3092,"Recreational Vehicle Service Technicians",890,,18.96,,18.04,,13.79,,21.53,
53-7081,"Refuse and Recyclable Material Collectors","4,690",,14.38,,13.96,,9.69,,16.72,
29-1141,"Registered Nurses","163,720",,30.28,,29.44,,23.76,,33.55,
21-1015,"Rehabilitation Counselors","4,250",,17.54,,16.81,,12.36,,20.12,
47-2171,"Reinforcing Iron and Rebar Workers",540,,16.67,,16.23,,12.63,,18.69,
21-2099,"Religious Workers, All Other","1,000",,13.91,,12.34,,8.89,,16.42,
27-3022,"Reporters and Correspondents","2,480",,22.22,,18.75,,13.11,,26.77,
43-4181,"Reservation and Transportation Ticket Agents and Travel Clerks","15,360",,15.29,,14.21,,9.52,,18.17,
39-9041,"Residential Advisors","4,050",,11.54,,10.92,,8.84,,12.88,
29-1126,"Respiratory Therapists","7,340",,26.34,,25.95,,20.99,,29.01,
29-2054,"Respiratory Therapy Technicians",980,,22.74,,22.41,,18.75,,24.74,
41-2031,"Retail Salespersons","314,850",,11.81,,10.04,,8.35,,13.53,
49-9096,Riggers,600,,21.79,,19.74,,15.23,,25.08,
47-5051,"Rock Splitters, Quarry",40,,13.65,,11.78,,10.00,,15.48,
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",370,,18.22,,19.69,,11.80,,21.42,
47-2181,Roofers,"9,700",,15.44,,15.26,,11.38,,17.47,
47-5012,"Rotary Drill Operators, Oil and Gas",110,,16.59,,16.71,,13.40,,18.19,
47-5071,"Roustabouts, Oil and Gas",140,,18.55,,17.97,,13.64,,20.99,
53-5011,"Sailors and Marine Oilers","2,950",,16.63,,16.30,,11.26,,19.31,
41-9099,"Sales and Related Workers, All Other","7,080",,15.90,,12.45,,9.15,,19.26,
41-9031,"Sales Engineers","2,010",,56.08,,48.74,,34.69,,66.78,
11-2022,"Sales Managers","13,550",,62.49,,56.56,,32.60,,77.44,
41-3099,"Sales Representatives, Services, All Other","63,260",,26.55,,21.95,,13.21,,33.22,
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","87,200",,28.47,,23.30,,13.53,,35.93,
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","27,060",,40.06,,34.80,,20.81,,49.69,
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",740,,12.96,,11.76,,9.14,,14.89,
25-2031,"Secondary School Teachers, Except Special and Vocational Education","40,020",,"52,088",*,"48,010",*,"39,460",*,"58,401",*
43-6014,"Secretaries, Except Legal, Medical, and Executive","145,070",,14.90,,14.42,,10.22,,17.24,
41-3031,"Securities, Commodities, and Financial Services Sales Agents","17,930",,43.74,,31.04,,18.16,,56.54,
49-2098,"Security and Fire Alarm Systems Installers","5,550",,17.93,,17.41,,13.43,,20.17,
33-9032,"Security Guards","78,050",,11.29,,10.61,,8.25,,12.82,
25-3021,"Self-Enrichment Education Teachers","10,860",,16.27,,14.63,,9.47,,19.68,
51-9141,"Semiconductor Processors",530,,18.86,,18.15,,14.76,,20.90,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","1,230",,18.38,,16.73,,12.26,,21.44,
47-4071,"Septic Tank Servicers and Sewer Pipe Cleaners","1,640",,14.57,,13.94,,11.26,,16.23,
53-6031,"Service Station Attendants","4,280",,10.91,,10.55,,8.29,,12.21,
47-5013,"Service Unit Operators, Oil, Gas, and Mining",30,,28.90,,21.36,,17.93,,34.38,
27-1027,"Set and Exhibit Designers",290,,18.63,,14.99,,9.88,,23.00,
51-6051,"Sewers, Hand",140,,13.62,,12.06,,10.57,,15.14,
51-6031,"Sewing Machine Operators","5,150",,11.04,,10.38,,8.30,,12.41,
39-5093,Shampooers,720,,9.69,,9.30,,8.24,,10.42,
47-2211,"Sheet Metal Workers","6,370",,17.45,,17.01,,12.06,,20.14,
53-5031,"Ship Engineers","1,650",,40.57,,38.07,,25.24,,48.23,
43-5071,"Shipping, Receiving, and Traffic Clerks","35,460",,13.59,,12.93,,9.56,,15.61,
51-6041,"Shoe and Leather Workers and Repairers",490,,11.89,,11.39,,8.70,,13.47,
49-9097,"Signal and Track Switch Repairers",260,,28.35,,27.74,,25.73,,29.67,
39-5094,"Skin Care Specialists","2,450",,14.40,,14.03,,8.76,,17.21,
51-3023,"Slaughterers and Meat Packers",520,,10.43,,9.58,,8.25,,11.51,
39-1012,"Slot Key Persons",160,,13.76,,12.76,,8.57,,16.35,
11-9151,"Social and Community Service Managers","3,270",,36.60,,33.56,,23.70,,43.06,
21-1093,"Social and Human Service Assistants","13,430",,14.46,,13.81,,10.84,,16.26,
19-4061,"Social Science Research Assistants",N/R,,15.10,,15.31,,10.78,,17.26,
25-1069,"Social Sciences Teachers, Postsecondary, All Other","1,040",,"61,115",*,"56,788",*,"30,352",*,"76,496",*
19-3099,"Social Scientists and Related Workers, All Other","1,520",,32.60,,31.88,,21.67,,38.06,
25-1113,"Social Work Teachers, Postsecondary",290,,"86,602",*,"77,406",*,"52,068",*,"103,868",*
21-1029,"Social Workers, All Other","2,400",,26.83,,27.04,,16.31,,32.08,
19-3041,Sociologists,60,,32.58,,30.17,,21.85,,37.94,
25-1067,"Sociology Teachers, Postsecondary",540,,"86,117",*,"85,900",*,"52,260",*,"103,046",*
19-1013,"Soil and Plant Scientists",300,,26.41,,22.45,,17.47,,30.87,
47-2231,"Solar Photovoltaic Installers",N/R,,21.16,,19.23,,16.50,,23.50,
27-4014,"Sound Engineering Technicians",810,,19.65,,17.59,,13.27,,22.84,
25-2059,"Special Education Teachers, All Other","5,530",,"53,533",*,"48,929",*,"41,883",*,"59,359",*
25-2052,"Special Education Teachers, Kindergarten, and Elementary School","8,900",,"51,184",*,"47,182",*,"38,696",*,"57,428",*
25-2053,"Special Education Teachers, Middle School","3,700",,"51,573",*,"47,519",*,"38,131",*,"58,294",*
25-2051,"Special Education Teachers, Preschool","1,400",,"52,173",*,"47,668",*,"39,064",*,"58,727",*
25-2054,"Special Education Teachers, Secondary School","3,690",,"52,033",*,"48,051",*,"39,172",*,"58,464",*
29-1127,"Speech-Language Pathologists","6,310",,34.62,,34.74,,22.66,,40.59,
51-8021,"Stationary Engineers and Boiler Operators",810,,20.85,,19.00,,13.86,,24.35,
43-9111,"Statistical Assistants",230,,18.24,,17.65,,13.31,,20.71,
15-2041,Statisticians,750,,25.67,,23.89,,12.58,,32.22,
43-5081,"Stock Clerks and Order Fillers","115,930",,11.46,,10.83,,8.40,,12.99,
47-2022,Stonemasons,290,,15.07,,13.42,,8.44,,18.38,
47-2221,"Structural Iron and Steel Workers","2,580",,17.67,,16.88,,11.68,,20.65,
51-2041,"Structural Metal Fabricators and Fitters","3,010",,16.91,,16.04,,12.35,,19.18,
21-1011,"Substance Abuse and Behavioral Disorder Counselors","3,790",,20.59,,19.47,,13.28,,24.25,
25-3098,"Substitute teachers","27,350",,11.04,,10.90,,8.48,,12.32,
29-1067,Surgeons,"2,160",,113.14,,N/R,,N/R,,N/R,
29-2055,"Surgical Technologists","6,440",,18.98,,18.46,,15.40,,20.77,
19-3022,"Survey Researchers",530,,16.20,,14.34,,12.00,,18.29,
17-3031,"Surveying and Mapping Technicians","4,800",,18.90,,17.87,,12.08,,22.31,
17-1022,Surveyors,"1,940",,27.44,,27.34,,16.18,,33.07,
43-2011,"Switchboard Operators, Including Answering Service","6,740",,12.08,,11.59,,9.51,,13.37,
51-6052,"Tailors, Dressmakers, and Custom Sewers",970,,13.39,,12.58,,8.81,,15.67,
53-7121,"Tank Car, Truck, and Ship Loaders",560,,16.27,,13.85,,10.74,,19.03,
47-2082,Tapers,80,,19.74,,18.11,,15.60,,21.80,
13-2081,"Tax Examiners, Collectors, and Revenue Agents","4,760",,22.23,,17.73,,13.40,,26.65,
13-2082,"Tax Preparers","3,830",,11.13,,9.39,,8.32,,12.54,
53-3041,"Taxi Drivers and Chauffeurs","10,240",,11.34,,10.81,,8.35,,12.85,
25-9041,"Teacher Assistants","40,530",,"23,711",*,"22,635",*,"17,369",*,"26,883",*
25-3099,"Teachers and Instructors, All Other","22,310",,"44,092",*,"41,953",*,"24,627",*,"53,824",*
51-2092,"Team Assemblers","36,150",,12.79,,11.87,,8.85,,14.77,
27-3042,"Technical Writers","1,780",,29.54,,28.82,,20.63,,33.99,
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers","17,630",,23.96,,23.41,,16.21,,27.83,
49-9052,"Telecommunications Line Installers and Repairers","5,650",,21.29,,21.54,,14.44,,24.71,
41-9041,Telemarketers,"24,110",,11.94,,10.71,,8.37,,13.73,
43-2021,"Telephone Operators",630,,15.00,,13.13,,9.87,,17.56,
43-3071,Tellers,"36,170",,13.54,,13.12,,10.58,,15.02,
47-2053,"Terrazzo Workers and Finishers",210,,21.00,,19.88,,14.73,,24.14,
51-6061,"Textile Bleaching and Dyeing Machine Operators and Tenders",120,,11.90,,10.97,,8.33,,13.67,
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",360,,11.80,,10.99,,8.36,,13.52,
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",110,,16.48,,14.47,,8.16,,20.64,
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",220,,13.31,,11.91,,10.53,,14.69,
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",280,,15.37,,15.31,,11.49,,17.30,
29-1129,"Therapists, All Other",850,,33.94,,31.62,,21.17,,40.34,
47-2044,"Tile and Marble Setters","2,830",,14.72,,14.09,,8.97,,17.59,
51-2093,"Timing Device Assemblers, Adjusters, and Calibrators",20,,13.82,,12.09,,10.84,,15.32,
51-9197,"Tire Builders",270,,12.29,,11.79,,10.62,,13.12,
49-3093,"Tire Repairers and Changers","7,440",,10.02,,9.28,,8.29,,10.88,
23-2093,"Title Examiners, Abstractors, and Searchers","4,360",,20.56,,20.43,,14.22,,23.72,
51-4111,"Tool and Die Makers","1,060",,20.62,,20.06,,14.66,,23.60,
51-4194,"Tool Grinders, Filers, and Sharpeners",120,,16.17,,14.59,,10.26,,19.13,
39-7011,"Tour Guides and Escorts","2,100",,12.98,,12.76,,9.42,,14.76,
53-6041,"Traffic Technicians",160,,18.73,,18.36,,15.07,,20.57,
11-3131,"Training and Development Managers",900,,49.92,,46.77,,34.01,,57.87,
13-1151,"Training and Development Specialists","11,850",,26.64,,24.49,,16.86,,31.54,
33-3052,"Transit and Railroad Police",100,,25.60,,25.02,,16.30,,30.25,
53-6061,"Transportation Attendants, Except Flight Attendants",760,,11.31,,9.52,,8.33,,12.80,
53-6051,"Transportation Inspectors",530,,44.37,,46.66,,28.30,,52.41,
33-9093,"Transportation Security Screeners","5,200",,17.96,,17.62,,15.41,,19.24,
53-6099,"Transportation Workers, All Other","1,210",,15.46,,14.67,,9.98,,18.20,
11-3071,"Transportation, Storage, and Distribution Managers","3,250",,45.18,,42.76,,29.13,,53.21,
41-3041,"Travel Agents","6,750",,16.68,,14.81,,9.53,,20.26,
39-7012,"Travel Guides",380,,12.55,,11.10,,8.81,,14.42,
37-3013,"Tree Trimmers and Pruners","1,730",,14.39,,14.37,,9.43,,16.87,
53-3032,"Truck Drivers, Heavy and Tractor-Trailer","65,410",,17.77,,16.90,,11.92,,20.70,
53-3033,"Truck Drivers, Light or Delivery Services","40,660",,16.08,,13.66,,9.73,,19.26,
27-2023,"Umpires, Referees, and Other Sports Officials",640,,"28,527",*,"25,151",*,"19,502",*,"33,040",*
51-6093,Upholsterers,"1,280",,15.89,,14.22,,10.01,,18.82,
19-3051,"Urban and Regional Planners","1,990",,31.80,,30.56,,22.56,,36.42,
39-3031,"Ushers, Lobby Attendants, and Ticket Takers","4,780",,9.36,,9.07,,8.23,,9.93,
29-1131,Veterinarians,"3,070",,48.39,,43.67,,29.63,,57.77,
31-9096,"Veterinary Assistants and Laboratory Animal Caretakers","3,350",,10.53,,10.06,,8.21,,11.69,
29-2056,"Veterinary Technologists and Technicians","7,140",,13.94,,13.63,,10.67,,15.58,
25-2023,"Vocational Education Teachers, Middle School",970,,"56,885",*,"54,977",*,"41,013",*,"64,822",*
25-1194,"Vocational Education Teachers, Postsecondary","6,250",,28.05,,26.54,,16.99,,33.58,
25-2032,"Vocational Education Teachers, Secondary School","5,530",,"53,077",*,"50,442",*,"34,051",*,"62,590",*
35-3031,"Waiters and Waitresses","185,830",,10.03,,9.04,,8.23,,10.95,
49-9064,"Watch Repairers",270,,14.23,,12.46,,9.45,,16.64,
51-8031,"Water and Liquid Waste Treatment Plant and System Operators","5,410",,21.74,,21.11,,14.90,,25.16,
15-1134,"Web Developers","6,270",,29.60,,27.92,,18.66,,35.08,
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","4,350",,12.14,,11.82,,8.61,,13.91,
51-4121,"Welders, Cutters, Solderers, and Brazers","10,890",,17.85,,17.01,,12.24,,20.65,
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",420,,15.58,,15.66,,12.13,,17.31,
13-1022,"Wholesale and Retail Buyers, Except Farm Products","4,320",,29.61,,27.10,,18.25,,35.29,
51-7099,"Woodworkers, All Other",30,,22.15,,23.34,,17.17,,24.64,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","1,710",,13.80,,13.45,,9.84,,15.78,
43-9022,"Word Processors and Typists","3,730",,13.49,,12.88,,9.91,,15.28,
27-3043,"Writers and Authors","1,890",,28.18,,23.08,,12.89,,35.83,
19-1023,"Zoologists and Wildlife Biologists","1,350",,25.60,,23.01,,16.25,,30.27,
